Equipo,Amarillas,Rojas,Tarjetas,Partidos,T/P
FC Barcelona,33,1,34,14,"2,428571429"
Real Madrid,26,1,27,14,"1,928571429"
Athletic de Bilbao,36,2,38,14,"2,714285714"
Valencia,25,1,26,14,"1,857142857"
Atlético de Madrid,25,1,26,14,"1,857142857"
Girona,32,0,32,14,"2,285714286"
Rayo Vallecano,40,2,42,14,3
Real Sociedad,38,0,38,14,"2,714285714"
Real Betis,28,1,29,14,"2,071428571"
Almería,32,1,33,14,"2,357142857"
Granada,41,2,43,14,"3,071428571"
Osasuna,32,3,35,14,"2,5"
Villarreal,40,3,43,14,"3,071428571"
Celta de Vigo,22,3,25,14,"1,785714286"
Mallorca,37,2,39,14,"2,785714286"
Sevilla,40,3,43,14,"3,071428571"
Deportivo Alavés,31,1,32,14,"2,285714286"
Getafe,56,4,60,14,"4,285714286"
Las Palmas,31,1,32,14,"2,285714286"
Cádiz,43,4,47,14,"3,357142857"
,,,,,
,,,,,
,,,,,
https://www.marca.com/futbol/primera-division/estadisticas-equipos.html,,,,,
